1669876200000,1283.58000000,1284.63000000,1282.50000000,1284.63000000,1605.64720000,1669877099999,2061188.73305000,1789,887.38800000,1139281.06335400,0
1669877100000,1284.62000000,1285.95000000,1284.01000000,1284.41000000,1171.47240000,1669877999999,1505194.48946500,1673,670.30110000,861252.07299600,0
1669878000000,1284.41000000,1284.73000000,1280.69000000,1282.33000000,1509.75210000,1669878899999,1936858.58206100,1671,391.64940000,502218.77094400,0
1669878900000,1282.34000000,1283.21000000,1280.61000000,1281.36000000,1757.25870000,1669879799999,2252622.96978000,1479,851.57360000,1091679.64407700,0
1669879800000,1281.36000000,1282.92000000,1280.25000000,1282.62000000,1057.69330000,1669880699999,1355558.22974800,1443,417.51470000,534965.13197900,0
1669880700000,1282.62000000,1282.71000000,1278.20000000,1278.58000000,2216.88310000,1669881599999,2838442.64342500,2299,873.26300000,1118185.38016000,0
1669881600000,1278.72000000,1280.93000000,1277.39000000,1279.85000000,2316.32040000,1669882499999,2964000.07187900,2389,941.24050000,1204082.51508800,0
1669882500000,1279.85000000,1281.44000000,1279.37000000,1279.50000000,1520.57240000,1669883399999,1946721.03386700,1625,552.20270000,707061.26486500,0
1669883400000,1279.50000000,1282.00000000,1279.42000000,1282.00000000,1294.18490000,1669884299999,1657469.62979400,1812,898.33890000,1150542.70150700,0
1669884300000,1281.99000000,1285.90000000,1281.63000000,1283.94000000,2131.52580000,1669885199999,2737885.00852100,2546,1065.87860000,1368911.28278300,0
1669885200000,1283.94000000,1283.99000000,1280.40000000,1281.12000000,1523.51350000,1669886099999,1953158.86344200,1908,566.55110000,726249.94433900,0
1669886100000,1281.04000000,1282.30000000,1278.11000000,1279.75000000,1602.54290000,1669886999999,2051927.97816700,1864,706.85140000,905212.60878500,0
1669887000000,1279.75000000,1282.27000000,1277.97000000,1281.58000000,1570.39290000,1669887899999,2009763.70986000,1917,620.44300000,794176.59853700,0
1669887900000,1281.58000000,1283.90000000,1280.73000000,1283.56000000,1200.49000000,1669888799999,1539372.55710500,1700,707.88840000,907836.22552400,0
1669888800000,1283.56000000,1285.00000000,1282.71000000,1283.74000000,1483.15180000,1669889699999,1904562.30219700,1849,1067.63000000,1371092.30595400,0
1669889700000,1283.74000000,1283.74000000,1281.50000000,1281.51000000,1837.74440000,1669890599999,2356868.88113500,1504,1084.43810000,1390709.83776600,0
1669890600000,1281.51000000,1284.00000000,1281.39000000,1282.62000000,1197.07440000,1669891499999,1535234.34479300,1603,528.17640000,677403.19862300,0
1669891500000,1282.59000000,1282.66000000,1279.71000000,1280.24000000,966.15730000,1669892399999,1237911.59401600,1517,396.02090000,507419.07475700,0
1669892400000,1280.24000000,1281.54000000,1277.50000000,1280.47000000,6382.29180000,1669893299999,8167184.60381300,3348,3824.21200000,4893239.24171700,0
1669893300000,1280.47000000,1281.00000000,1277.53000000,1279.50000000,1052.90870000,1669894199999,1347324.42449200,1506,454.69240000,581906.09082100,0
1669894200000,1279.49000000,1281.23000000,1279.34000000,1281.09000000,806.58750000,1669895099999,1032575.06781000,1360,500.88600000,641269.85703500,0
1669895100000,1281.10000000,1283.00000000,1280.54000000,1282.88000000,1092.45180000,1669895999999,1400803.63751500,1743,639.07260000,819487.79398900,0
1669896000000,1282.89000000,1287.63000000,1282.83000000,1286.62000000,3265.47660000,1669896899999,4195231.11240400,3485,1858.84840000,2387954.04693300,0
1669896900000,1286.62000000,1288.78000000,1284.42000000,1286.12000000,3332.00130000,1669897799999,4286673.16697800,3296,2105.78350000,2709096.13953200,0
1669897800000,1286.14000000,1291.00000000,1285.95000000,1289.49000000,3072.36920000,1669898699999,3958602.00620900,3847,1754.98250000,2261345.01425900,0
1669898700000,1289.50000000,1289.54000000,1286.91000000,1288.60000000,1659.35030000,1669899599999,2137200.97504700,2149,856.22880000,1102782.58163600,0
1669899600000,1288.59000000,1291.54000000,1285.68000000,1286.70000000,2973.66430000,1669900499999,3830983.30423600,3280,1631.59860000,2102327.11729300,0
1669900500000,1286.85000000,1289.01000000,1285.92000000,1286.68000000,1476.06950000,1669901399999,1900541.45070700,1861,606.13490000,780340.42072200,0
1669901400000,1286.68000000,1300.00000000,1281.97000000,1284.98000000,19870.17220000,1669902299999,25646373.74191000,21700,10984.76930000,14181528.70002500,0
1669902300000,1285.09000000,1285.09000000,1269.40000000,1279.04000000,17309.88120000,1669903199999,22074085.30431000,18721,7714.16150000,9839469.90305800,0
1669903200000,1279.11000000,1281.53000000,1274.30000000,1278.48000000,3933.67680000,1669904099999,5023260.96780600,4792,2282.53480000,2913889.16923500,0
1669904100000,1278.48000000,1278.48000000,1270.92000000,1272.23000000,8467.05620000,1669904999999,10789929.43961000,6005,4626.35240000,5895172.85321300,0
1669905000000,1272.38000000,1278.31000000,1271.93000000,1275.26000000,3276.37870000,1669905899999,4180435.65431200,4683,1779.69470000,2270621.96905200,0
1669905900000,1275.26000000,1283.28000000,1275.23000000,1279.95000000,3821.71170000,1669906799999,4892311.92844200,4617,2447.13800000,3132278.74160800,0
1669906800000,1279.96000000,1284.66000000,1265.06000000,1267.31000000,13259.82410000,1669907699999,16899346.42649600,12437,5941.44290000,7571243.72849100,0
1669907700000,1267.40000000,1269.63000000,1262.66000000,1267.54000000,9854.96710000,1669908599999,12476052.08629700,9092,4244.95350000,5373792.48907700,0
1669908600000,1267.51000000,1270.86000000,1264.00000000,1268.83000000,4604.07430000,1669909499999,5839503.38286200,5062,2075.95830000,2633007.77704200,0
1669909500000,1268.82000000,1272.10000000,1268.16000000,1271.51000000,2221.86600000,1669910399999,2823479.59909700,2863,1472.15800000,1870886.90429800,0
1669910400000,1271.51000000,1273.11000000,1268.78000000,1268.78000000,2819.32840000,1669911299999,3583931.91853800,3008,1813.38170000,2305572.22735800,0
1669911300000,1268.77000000,1270.66000000,1265.47000000,1269.28000000,1613.07060000,1669912199999,2045752.79747100,3014,873.50110000,1107916.29650200,0
1669912200000,1269.24000000,1274.00000000,1269.05000000,1273.60000000,1770.17260000,1669913099999,2251927.87450000,2572,1263.32850000,1607276.87218700,0
1669913100000,1273.60000000,1274.87000000,1271.56000000,1272.44000000,947.60280000,1669913999999,1206248.48980800,2052,479.74050000,610725.03115900,0
1669914000000,1272.45000000,1272.73000000,1268.57000000,1270.37000000,1524.35030000,1669914899999,1937195.06821800,2828,577.03090000,733526.37292700,0
1669914900000,1270.54000000,1275.00000000,1268.83000000,1273.99000000,2160.17160000,1669915799999,2747209.45163000,3189,1523.73130000,1938071.83845700,0
1669915800000,1273.99000000,1276.00000000,1273.00000000,1273.74000000,1068.14830000,1669916699999,1361337.74424900,1787,680.15360000,866905.87407100,0
1669916700000,1273.74000000,1275.79000000,1272.65000000,1274.94000000,874.95270000,1669917599999,1115301.75154900,1662,414.29940000,528096.23194500,0
1669917600000,1274.91000000,1278.74000000,1274.77000000,1277.79000000,1222.82630000,1669918499999,1561293.98998000,2651,817.61940000,1043967.79092500,0
1669918500000,1277.79000000,1277.79000000,1274.17000000,1274.52000000,2275.52710000,1669919399999,2904822.60211000,2236,419.65820000,535427.26887200,0
1669919400000,1274.52000000,1276.07000000,1271.88000000,1276.06000000,2045.80090000,1669920299999,2605193.22464200,2345,1225.94170000,1561453.14676500,0
1669920300000,1276.07000000,1278.00000000,1273.61000000,1274.90000000,845.28170000,1669921199999,1078081.53061400,1607,322.04350000,410775.34767700,0
1669921200000,1274.90000000,1275.16000000,1272.49000000,1273.71000000,985.48440000,1669922099999,1255188.53673600,1617,441.86700000,562823.15103800,0
1669922100000,1273.71000000,1276.75000000,1273.34000000,1276.07000000,859.64800000,1669922999999,1096540.06662700,1338,554.33950000,707123.76176600,0
1669923000000,1276.05000000,1277.63000000,1275.19000000,1275.73000000,1200.11610000,1669923899999,1532071.52748600,1697,794.09830000,1013781.65779800,0
1669923900000,1275.72000000,1277.82000000,1275.60000000,1276.09000000,1201.74230000,1669924799999,1534198.79711400,1680,839.04240000,1071140.92822600,0
1669924800000,1276.15000000,1276.32000000,1275.00000000,1275.30000000,789.84280000,1669925699999,1007711.02825100,1255,486.16490000,620297.71900900,0
1669925700000,1275.29000000,1276.12000000,1274.31000000,1274.37000000,498.56250000,1669926599999,635882.57282700,1032,286.12530000,364946.71973500,0
1669926600000,1274.37000000,1275.34000000,1273.26000000,1275.34000000,539.93710000,1669927499999,687923.27431600,1236,258.58840000,329482.25864300,0
1669927500000,1275.35000000,1275.55000000,1271.81000000,1272.16000000,1621.56450000,1669928399999,2064055.62517900,1870,1091.83080000,1389612.16464900,0
1669928400000,1272.22000000,1272.22000000,1267.00000000,1271.44000000,2534.02620000,1669929299999,3216374.67273300,4010,1067.19830000,1354494.12625800,0
1669929300000,1271.45000000,1274.99000000,1271.30000000,1274.20000000,1241.27400000,1669930199999,1580805.45351100,2431,709.96070000,904081.54407600,0
1669930200000,1274.20000000,1274.70000000,1273.05000000,1274.65000000,573.59610000,1669931099999,730704.74022100,1240,312.81440000,398480.96194100,0
1669931100000,1274.66000000,1277.62000000,1274.24000000,1276.31000000,1528.39230000,1669931999999,1950574.26223600,2303,866.03900000,1105150.91590600,0
1669932000000,1276.25000000,1276.25000000,1274.61000000,1275.38000000,616.76890000,1669932899999,786672.72107700,1384,338.60520000,431851.42354700,0
1669932900000,1275.34000000,1282.84000000,1275.34000000,1278.36000000,2823.80870000,1669933799999,3614216.15220300,3907,1496.67490000,1915117.58066600,0
1669933800000,1278.37000000,1280.97000000,1278.17000000,1278.30000000,1752.57870000,1669934699999,2242433.09392300,1873,982.43510000,1256932.52721500,0
1669934700000,1278.30000000,1279.65000000,1277.32000000,1277.53000000,1205.36140000,1669935599999,1540730.63941700,1255,451.66580000,577356.23322800,0
1669935600000,1277.53000000,1279.37000000,1276.55000000,1277.21000000,1038.75790000,1669936499999,1327505.99548000,1918,524.39370000,670128.99854000,0
1669936500000,1277.29000000,1277.77000000,1273.12000000,1274.50000000,2011.46570000,1669937399999,2564184.35407100,2874,739.49640000,942752.49305200,0
1669937400000,1274.52000000,1276.26000000,1273.80000000,1275.94000000,640.74200000,1669938299999,817189.33102600,1210,348.90980000,444993.29046600,0
1669938300000,1275.94000000,1276.41000000,1275.03000000,1276.41000000,1014.64630000,1669939199999,1294174.69797700,1329,474.23130000,604878.48689800,0
1669939200000,1276.42000000,1276.78000000,1274.30000000,1275.51000000,1079.54800000,1669940099999,1377135.35102200,1685,487.40990000,621739.35981500,0
1669940100000,1275.50000000,1275.66000000,1274.01000000,1274.10000000,1018.30480000,1669940999999,1298207.66059500,1684,362.93200000,462674.18657800,0
1669941000000,1274.09000000,1280.72000000,1274.00000000,1280.36000000,2101.34590000,1669941899999,2686272.86903600,3000,1219.22210000,1558646.51973100,0
1669941900000,1280.36000000,1283.71000000,1277.64000000,1282.65000000,2595.94230000,1669942799999,3324479.74567800,3166,1345.70680000,1723667.20241000,0
1669942800000,1282.65000000,1284.90000000,1280.45000000,1283.21000000,2582.66320000,1669943699999,3311643.17852700,3353,1284.38620000,1646952.28955300,0
1669943700000,1283.22000000,1283.45000000,1279.40000000,1281.35000000,1560.54570000,1669944599999,1999391.01811800,2172,536.76060000,687724.76431000,0
1669944600000,1281.35000000,1281.52000000,1277.31000000,1277.31000000,2192.30410000,1669945499999,2806046.90787200,2145,589.72380000,754876.86501000,0
1669945500000,1277.31000000,1277.31000000,1266.76000000,1272.71000000,6400.56840000,1669946399999,8134693.44609000,8350,2809.39260000,3570125.92609100,0
1669946400000,1272.71000000,1274.73000000,1265.54000000,1267.65000000,3854.07370000,1669947299999,4897170.45937500,4567,1431.08580000,1818278.40453200,0
1669947300000,1267.47000000,1272.37000000,1266.46000000,1271.64000000,2187.12250000,1669948199999,2776408.78871300,2763,876.44340000,1112668.03643600,0
1669948200000,1271.63000000,1273.64000000,1270.36000000,1270.86000000,1324.82220000,1669949099999,1684995.06517000,2175,717.49510000,912532.16245100,0
1669949100000,1270.86000000,1272.34000000,1268.70000000,1271.89000000,1511.69120000,1669949999999,1920410.89440800,2243,731.65360000,929634.92954300,0
