DATE_TEMPS,ID_SIT_CRS,ID_TEMPS,NOM_SYMBOL,VALEUR_COURS,IND_STOCH_RSI,IND_RSI,IND_TRIX,DEC_ACHAT,DEC_VENTE,wallet,resultat,resultat%,tradeIs
2019-11-16 15:59:59,16344,1573916399999,ETHUSDT,182.27,1.0,68.28859060402696,0.09320106135493955,0.0,1.0,4551.015095583398,75.518041133525,1.6873665698972973,Good
2019-11-20 07:59:59,16432,1574233199999,ETHUSDT,176.91,1.0,68.16720257234728,0.1075407850867862,0.0,1.0,4386.215531673294,-161.61385334319584,-3.553648117839625,Bad
2019-11-23 05:59:59,16502,1574485199999,ETHUSDT,149.44,0.7103385162770681,61.59068865179436,0.22250983703887034,0.0,1.0,3716.1275335974033,-667.0176472037201,-15.217785852163058,Bad
2019-11-23 15:59:59,16512,1574521199999,ETHUSDT,150.94,1.0,59.649122807017534,0.1201831884267516,0.0,1.0,3787.9711067987046,74.44486247481927,2.0046946642320984,Good
2019-11-25 18:59:59,16561,1574704799999,ETHUSDT,148.23,0.9276971700626591,68.11198361215426,0.4958470913673582,0.0,1.0,3744.5248093449704,-40.7947176789753,-1.0777086950714665,Bad
2019-11-27 01:59:59,16592,1574816399999,ETHUSDT,147.85,0.9729412368636409,56.00882028665935,-0.008488107565087673,0.0,1.0,3784.8509971183967,42.94735513996784,1.147740809201081,Good
2019-11-28 20:59:59,16635,1574971199999,ETHUSDT,153.69,0.8382342326387562,62.36559139784951,-0.06906885865978525,0.0,1.0,3836.975120730681,54.77351931026715,1.448191426117984,Good
2019-12-08 10:59:59,16865,1575799199999,ETHUSDT,148.14,1.0,52.94117647058792,-0.005466960375141848,0.0,1.0,3779.054591301972,-55.234646844197414,-1.4405446071904193,Bad
2019-12-11 18:59:59,16945,1576087199999,ETHUSDT,143.3,0.234229646970441,31.960461285008236,-0.01699977576258018,0.0,1.0,3630.1311294578895,-146.27812363017074,-3.873471168691678,Bad
2019-12-12 10:59:59,16961,1576144799999,ETHUSDT,143.31,1.0,53.00925925925934,0.008897284024842578,0.0,1.0,3645.912129611114,18.322091943844953,0.5050761456944386,Good
2019-12-13 18:59:59,16993,1576259999999,ETHUSDT,144.79,0.883993820463856,52.61707988980718,-0.03291174602199552,0.0,1.0,3662.5639383668495,19.20394724646303,0.5270944208990214,Good
2019-12-15 00:59:59,17023,1576367999999,ETHUSDT,141.79,0.6267312865884369,36.254980079681424,-0.024781558976932114,0.0,1.0,3602.3072684649005,-57.692875145091875,-1.5763080022228482,Bad
2019-12-17 12:59:59,17083,1576583999999,ETHUSDT,132.23,1.0,56.18556701030929,0.027793290301299678,0.0,1.0,3366.3585080408716,-233.42714533610342,-6.4844734607218735,Bad
2019-12-18 23:59:59,17118,1576709999999,ETHUSDT,133.84,1.0,79.64946445959107,0.4231525597599788,0.0,1.0,3490.47997436435,126.4779172791068,3.759745539177639,Good
2019-12-22 08:59:59,17199,1577001599999,ETHUSDT,129.27,1.0,73.31838565022417,0.022962200433312194,0.0,1.0,3518.8041178938593,30.76747951156449,0.8820859039437634,Good
2019-12-24 10:59:59,17249,1577181599999,ETHUSDT,128.47,1.0,45.74616457461637,-0.029581481289238834,0.0,1.0,3490.5134266184396,-25.827528392894237,-0.7345001159823838,Bad
2019-12-26 14:59:59,17301,1577368799999,ETHUSDT,125.58,1.0,56.71232876712318,0.04780663017542927,0.0,1.0,3481.1930710524434,-6.876996167362904,-0.1971576268490538,Bad
2019-12-27 21:59:59,17332,1577480399999,ETHUSDT,125.63,0.868802815334543,53.41880341880334,0.011094190073773505,0.0,1.0,3493.003444087943,14.247208185236559,0.40954890826201407,Good
2019-12-30 18:59:59,17401,1577728799999,ETHUSDT,131.5,0.19631980009707556,35.15439429928753,-0.22606142085974404,0.0,1.0,3450.8510083898955,-39.707333287185975,-1.1375639482395283,Bad
2020-01-01 10:59:59,17441,1577872799999,ETHUSDT,130.17,0.7822011773768434,68.50220264317137,0.06627178511697383,0.0,1.0,3445.2274937228176,-3.207918961204996,-0.09302534562212195,Bad
2020-01-03 09:59:59,17488,1578041999999,ETHUSDT,132.15,1.0,73.58299595141703,0.10031109745878392,0.0,1.0,3450.065524718434,7.249690241222197,0.21057444225223154,Good
2020-01-05 16:59:59,17543,1578239999999,ETHUSDT,137.26,1.0,63.95147313691507,-0.005772525250222864,0.0,1.0,3535.1218328010564,87.47135394992483,2.5371294012110246,Good
2020-01-10 13:59:59,17660,1578661199999,ETHUSDT,139.86,1.0,63.51515151515162,0.0711833764624269,0.0,1.0,3506.606468800102,-26.040778717993817,-0.7371463068181816,Bad
2020-01-11 19:59:59,17690,1578769199999,ETHUSDT,146.64,1.0,69.63470319634692,-0.04927542540454857,0.0,1.0,3597.1217671840745,92.96992291213292,2.6531362521891255,Good
