open,high,low,close,volume,EMA200,TRIX,TRIX_PCT,TRIX_SIGNAL,TRIX_HISTO,STOCH_RSI
1294.46,1295.82,1288.39,1293.81,9533.91720000,,,,,,
1293.81,1295.88,1290.0,1291.84,5721.59560000,,,,,,
1291.83,1292.82,1287.95,1288.66,4404.82900000,,,,,,
1288.66,1291.3,1286.21,1290.21,4207.72510000,,,,,,
1290.21,1292.74,1286.33,1287.7,5935.85190000,,,,,,
1287.7,1290.25,1282.85,1285.65,4936.37960000,,,,,,
1285.65,1287.5,1285.05,1286.51,1963.98600000,,,,,,
1286.51,1287.31,1285.04,1285.77,2700.95280000,,,,,,
1285.77,1288.72,1285.0,1288.54,4191.94620000,,,,,,
1288.54,1289.21,1285.09,1285.79,4997.05210000,,,,,,
1285.78,1286.39,1281.2,1284.65,4344.87580000,,,,,,
1284.64,1287.7,1284.36,1286.7,2921.30790000,,,,,,
1286.71,1290.09,1286.39,1289.02,8157.76100000,,,,,,
1289.02,1291.0,1287.48,1288.42,3707.45680000,,,,,,
1288.43,1288.81,1286.91,1287.54,2349.22360000,,,,,,
1287.53,1289.15,1286.65,1288.02,2794.52370000,,,,,,
1288.02,1289.42,1284.68,1289.16,8919.49540000,,,,,,
1289.16,1289.33,1286.03,1287.74,3765.18090000,,,,,,
1287.75,1287.92,1284.52,1286.09,2780.03870000,,,,,,
1286.1,1286.49,1282.44,1283.79,2699.77600000,,,,,,
1283.78,1286.29,1283.46,1286.16,3168.56320000,,,,,,
1286.15,1286.88,1284.43,1284.68,2692.34070000,,,,,,
1284.69,1285.31,1277.59,1280.6,6651.75250000,,,,,,
1280.59,1283.36,1276.13,1282.49,5623.99620000,,,,,,
1282.5,1284.22,1282.07,1283.28,2633.33720000,,1287.0120468075079,,,,
1283.28,1284.0,1282.83,1283.55,3773.92960000,,1286.7336543882668,-0.021630910132630632,,,
1283.54,1284.8,1282.34,1284.68,3242.98180000,,1286.4578679284632,-0.021433064944176294,,,0.7519748727111628
1284.68,1286.12,1284.08,1284.52,2532.58010000,,1286.1965945682834,-0.020309515507144216,,,0.7286577212947287
1284.52,1284.81,1280.63,1282.2,2675.40130000,,1285.9379515880232,-0.020109132721424228,,,0.4116097509456732
1282.18,1283.27,1280.46,1281.21,2398.28920000,,1285.6697306195251,-0.020858002376156204,,,0.2903751638451217
1281.22,1282.88,1280.07,1282.69,2253.53220000,,1285.4006628568168,-0.02092821790077304,,,0.7790561850565372
1282.69,1282.79,1278.6,1278.76,3430.33440000,,1285.1060192799398,-0.022922314060591642,,,0.17790228773346353
1278.76,1280.97,1277.28,1279.99,3954.08340000,,1284.787995663964,-0.024746877783199395,,,0.4813458827221902
1280.0,1281.46,1279.66,1279.67,2845.90380000,,1284.4501319587198,-0.026297233970462575,,,0.4335091677800752
1279.66,1282.18,1279.62,1282.12,3145.93580000,,1284.1186068974455,-0.025810660377190153,,,1.0
